JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
EI	EI	1	20240101	370	Stocks de marchandises			2312-RSTK-000001	20240101	Ext.Stocks	0,0	515,61			20251124	-515,61	EUR
EI	EI	1	20240101	6037	Variation des stocks de marchandises			2312-RSTK-000001	20240101	Ext.Stocks	515,61	0,0			20251124	515,61	EUR
EI	EI	1	20240101	3701	STOCK TABLETTERIE			2312-RSTK-000001	20240101	Ext.Stocks	0,0	2973,43			20251124	-2973,43	EUR
EI	EI	1	20240101	60371	VARIATION STOCK TABLETTER			2312-RSTK-000001	20240101	Ext.Stocks	2973,43	0,0			20251124	2973,43	EUR
EI	EI	2	20240101	486	Charges constatées d'avance			2312-RCCA-000001	20240101	Ext.CCA DELTA SECURITE MAINTENANCE - 2312-RCCA-000001	0,0	363,76			20251124	-363,76	EUR
EI	EI	2	20240101	6152	Entretien et réparation sur biens immobiliers			2312-RCCA-000001	20240101	Ext.CCA DELTA SECURITE MAINTENANCE - 2312-RCCA-000001	363,76	0,0			20251124	363,76	EUR
EI	EI	2	20240101	486	Charges constatées d'avance			2312-RCCA-000001	20240101	Ext.CCA - DELTA SECU TELESURVEILLANCE - 2312-RCCA-000001	0,0	265,82			20251124	-265,82	EUR
EI	EI	2	20240101	6152	Entretien et réparation sur biens immobiliers			2312-RCCA-000001	20240101	Ext.CCA - DELTA SECU TELESURVEILLANCE - 2312-RCCA-000001	265,82	0,0			20251124	265,82	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401DELTA	DELTA SECURITE	0B5549Z	20240101	11/09/2023 -11- PRLV SEPA DELTA SECURITY SOLUTI BG - 162371	107,33	0,0	A	20240812	20251124	107,33	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401DELTA	DELTA SECURITE	0B5549Z	20240101	10/10/2023 -11- PRLV SEPA DELTA SECURITY SOLUTI BG - 162371	100,13	0,0	A	20240812	20251124	100,13	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401DELTA	DELTA SECURITE	0B5549Z	20240101	10/11/2023 -11- PRLV SEPA DELTA SECURITY SOLUTI - 162371	100,13	0,0	A	20240812	20251124	100,13	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401DELTA	DELTA SECURITE	0B5549Z	20240101	11/12/2023 -11- PRLV SEPA DELTA SECURITY SOLUTI BG - 162371	100,13	0,0	A	20240812	20251124	100,13	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401DELTA	DELTA SECURITE	0B5549Z	20240101	03/08/2023 -AC- DELTA SECURITE - 162371	0,0	510,37	A	20240812	20251124	-510,37	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401DELTA	DELTA SECURITE	0B5549Z	20240101	03/08/2023 -AC- DELTA SECURITE 61.5+57.9*10+57.91 - 162371	0,0	698,41	A	20240812	20251124	-698,41	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401MIDI	MIDI LIBRE	0B5549Z	20240101	04/12/2023 -11- PRLV SEPA SOC MERIDIONALE DISTR 33 - 162371	82,62	0,0	B	20240102	20251124	82,62	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401MIDI	MIDI LIBRE	0B5549Z	20240101	18/12/2023 -11- PRLV SEPA SOC MERIDIONALE DISTR 33 - 162371	91,44	0,0	B	20240102	20251124	91,44	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401MIDI	MIDI LIBRE	0B5549Z	20240101	27/12/2023 -11- PRLV SEPA SOC MERIDIONALE DISTR 33 - 162371	76,47	0,0	B	20240102	20251124	76,47	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401MIDI	MIDI LIBRE	0B5549Z	20240101	26/11/2023 -AC- MIDI LIBRE - 162371	0,0	82,62	B	20240102	20251124	-82,62	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401MIDI	MIDI LIBRE	0B5549Z	20240101	10/12/2023 -AC- MIDI LIBRE - 162371	0,0	91,44	B	20240102	20251124	-91,44	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401MIDI	MIDI LIBRE	0B5549Z	20240101	17/12/2023 -AC- MIDI LIBRE - 162371	0,0	76,47	B	20240102	20251124	-76,47	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401MIDI	MIDI LIBRE	0B5549Z	20240101	24/12/2023 -AC- MIDI LIBRE - 162371	0,0	85,59	B	20240102	20251124	-85,59	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401MIDI	MIDI LIBRE	0B5549Z	20240101	31/12/2023 -AC- MIDI LIBRE 03.01.2024 - 162371	0,0	92,61	C	20240115	20251124	-92,61	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401MOUSSE	SAS MOUSSE BOISSONS	0B5549Z	20240101	22/12/2023 -AC- SAS MOUSSE BOISSONS chq687 - 162371	0,0	237,03	D	20240426	20251124	-237,03	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401OCB	OCB	0B5549Z	20240101	04/12/2023 -AC- OCB 31.01.2024 - 162371	0,0	90,0	E	20240430	20251124	-90,00	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401SAF	S A F	0B5549Z	20240101	20/12/2023 -11- LOGISTA RETAIL FRANCE ECH:20/12/23 - 162371	233,65	0,0	F	20240102	20251124	233,65	EUR
AN	Journal des à-nouveaux	3	20240101	401	Fournisseurs	401SAF	S A F	0B5549Z	20240101	08/12/2023 -AC- S A F - 162371	0,0	233,65	F	20240102	20251124	-233,65	EUR
